fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221028 153945	1222	646995	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	319	1	1	1	0.1	50	0.5	FALSE	906007	0.0676264331467246	0.412327883439139	4326	1305	0.0148561053845558	13926	18068000	1
20221028 154542	1222	646995	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	296	1	1	1	0.1	50	0.5	FALSE	906007	0.256336560768032	0.605855548090767	790	367	7.44195973983396e-07	16188	12264000	2
20221028 155338	1222	646995	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	348	1	1	1	0.1	50	0.5	FALSE	906007	0.0420317835800233	0.88023219978204	2148	1255	0.0119584205045645	14464	18432000	3
20221028 160155	1222	646995	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	393	1	1	1	0.1	50	0.5	FALSE	906007	0.110373688864929	0.462671050743666	3048	224	0.00206444837151739	15802	16636000	4
20221028 160908	1222	646995	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	355	1	1	1	0.1	50	0.5	FALSE	906007	0.215246559615407	0.382663312088698	1639	726	7.25246316819457e-06	16787	12586000	5
20221028 161239	1222	646995	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	142	1	1	1	0.1	50	0.5	FALSE	906007	0.095073383324343	0.768944808514789	5514	1112	0.0209949481521181	14111	18738000	6
20221028 163700	1222	646995	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1862	1	1	1	0.1	50	0.5	FALSE	906007	0.0132617727926117	0.290849770861678	4657	1474	0.0127690015226403	15855	16850000	7
20221028 164324	1222	646995	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	456	1	1	1	0.1	50	0.5	FALSE	906007	0.163089135619666	0.651486602332443	3916	1617	0.000442699335717406	17622	12916000	8
20221028 165316	1222	646995	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	685	1	1	1	0.1	50	0.5	FALSE	906007	0.138212796681255	0.908855932590086	1120	850	3.72481821738739e-07	15265	13390000	9
20221028 170217	1222	646995	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	456	1	1	1	0.1	50	0.5	FALSE	906007	0.278104595591431	0.564646369789261	6809	1847	0.000712740523116505	16946	13628000	10
20221028 170637	1222	646995	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	288	1	1	1	0.1	50	0.5	FALSE	906007	0.241473887844477	0.810825017502066	5374	93	0.0016235500636953	18769	11742000	11
