fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 034324	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	0.1	50	0.5	FALSE	936659	0.260328266564102	0.434497465653112	0.922413452444744	8.81308670104772	0.0241353993293132	12642	17676000	1
20221030 034501	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	67	1	1	1	0.1	50	0.5	FALSE	936659	0.121481922396924	0.726928561399109	0.440675366786309	8.06732437644678	0.0186895600704297	14301	16998000	2
20221030 034831	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	299	1	1	1	0.1	50	0.5	FALSE	936659	0.140052982247071	0.59594590482011	0.58669156378819	4.87577809128561	0.021308632963239	13157	18886000	3
20221030 040446	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2242	1	1	1	0.1	50	0.5	FALSE	936659	0.0552978834922396	0.458794664536254	0.269445774983615	5.41510342227411	0.015959080997467	15311	17618000	4
20221030 040639	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	413	1	1	1	0.1	50	0.5	FALSE	936659	0.173633633909412	0.849665331240976	0.178041563500301	6.84876260018791	0.0146656772086346	14485	17030000	5
20221030 040952	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1620	1	1	1	0.1	50	0.5	FALSE	936659	0.111581673417022	0.694377312416327	0.57550079770881	1.54020137609041	0.0164461300964106	16489	9422000	6
20221030 041428	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	49	1	1	1	0.1	50	0.5	FALSE	936659	0.0952843011387449	0.652398589559016	0.810658905126911	11.093949717193	0.0146690853749555	14580	16680000	7
20221030 042034	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	692	1	1	1	0.1	50	0.5	FALSE	936659	0.202337452782231	0.561631702864543	0.0917156884148426	6.18735173606547	0.0151719011978838	15549	16582000	8
20221030 042253	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	97	1	1	1	0.1	50	0.5	FALSE	936659	0.229808302168458	0.357550961329252	0.873368650517659	7.62584248899657	0.0127875121143439	14216	16368000	9
20221030 042503	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	420	1	1	1	0.1	50	0.5	FALSE	936659	0.28804197706042	0.634130652525346	0.673054160233733	4.37688517846982	0.0146593129498697	15760	15520000	10
20221030 043228	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	813	1	1	1	0.1	50	0.5	FALSE	936659	0.065915807974161	0.505350232240744	0.743897450590885	3.55230582189688	0.0170289206922945	15720	1.6e+07	11
20221030 043722	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	355	1	1	1	0.1	50	0.5	FALSE	936659	0.0239102364677092	0.788521619685344	0.330194344159099	9.78144520313072	0.0120285003133777	15134	16052000	12
20221030 044607	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1415	1	1	1	0.1	50	0.5	FALSE	936659	0.210529587062119	0.335063952498604	0.498488977061061	2.7572700438468	0.0207563990592954	13954	16172000	13
20221030 045059	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	261	1	1	1	0.1	50	0.5	FALSE	936659	0.165632797515063	0.409345799259609	0.359531972779951	11.3254217366048	2.56304221410776e-06	15358	15924000	14
20221030 045450	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	42	1	1	1	0.1	50	0.5	FALSE	936659	0.280007987612189	0.878381782243378	0.945167031490564	10.558083324926	0.00251235106962324	15667	13706000	15
20221030 050340	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4828	1	1	1	0.1	50	0.5	FALSE	936659	0.0213346226137219	0.761167316342471	0.139499717673607	2.05215140849759	0.0170225144402966	16801	9758000	16
20221030 050722	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	238	1	1	1	0.1	50	0.5	FALSE	936659	0.114058386427523	0.580350112358699	0.999631704532987	5.1950749535512	0.015894863197245	15491	17498000	17
20221030 051237	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	641	1	1	1	0.1	50	0.5	FALSE	936659	0.142971791552363	0.375603613919877	0.295475274771159	4.73366566450667	0.0177040694141093	14764	17912000	18
20221030 051707	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2003	1	1	1	0.1	50	0.5	FALSE	936659	0.117899390500311	0.658386901570593	0.0960455154913999	4.92417254256942	0.014754591828732	16628	14344000	19
20221030 052017	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	162	1	1	1	0.1	50	0.5	FALSE	936659	0.137692891275079	0.543584792598872	0.585379518127499	5.66440879667188	0.018941036015929	14607	17986000	20
20221030 061533	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7282	1	1	1	0.1	50	0.5	FALSE	936659	0.00674842245803543	0.586163007296337	0.541217878880472	5.09745633289819	0.0182583664463126	14850	18380000	21
20221030 061818	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	0.1	50	0.5	FALSE	936659	0.143091189549651	0.597505573319789	0.620998123223405	7.99825751677997	0.0198633600643511	13314	19292000	22
